THE_DATE;YEAR;QUARTER;PERIOD;DAY;DATE_DAYS;DATE_PATTERN
2002/03/12;2002;1;3;12;37294;CL
2002/03/13;2002;1;3;13;37295;CL
2002/03/14;2002;1;3;14;37296;CL
2002/03/15;2002;1;3;15;37297;CL
2002/03/16;2002;1;3;16;37298;CL
2002/03/17;2002;1;3;17;37299;CL
2002/03/18;2002;1;3;18;37300;CL
2002/03/19;2002;1;3;19;37301;CL
2002/03/20;2002;1;3;20;37302;CL
2002/03/21;2002;1;3;21;37303;CL
2002/03/22;2002;1;3;22;37304;CL
2002/03/23;2002;1;3;23;37305;CL
2002/03/24;2002;1;3;24;37306;CL
2002/03/25;2002;1;3;25;37307;CL
2002/03/26;2002;1;3;26;37308;CL
2002/03/27;2002;1;3;27;37309;CL
2002/03/28;2002;1;3;28;37310;CL
2002/03/29;2002;1;3;29;37311;CL
2002/03/30;2002;1;3;30;37312;CL
2002/03/31;2002;1;3;31;37313;CL
2002/04/01;2002;2;4;1;37314;CL
2002/04/02;2002;2;4;2;37315;CL
2002/04/03;2002;2;4;3;37316;CL
2002/04/04;2002;2;4;4;37317;CL
2002/04/05;2002;2;4;5;37318;CL
2002/04/06;2002;2;4;6;37319;CL
2002/04/07;2002;2;4;7;37320;CL
2002/04/08;2002;2;4;8;37321;CL
2002/04/09;2002;2;4;9;37322;CL
2002/04/10;2002;2;4;10;37323;CL
2002/04/11;2002;2;4;11;37324;CL
2002/04/12;2002;2;4;12;37325;CL
2002/04/13;2002;2;4;13;37326;CL
2002/04/14;2002;2;4;14;37327;CL
2002/04/15;2002;2;4;15;37328;CL
2002/04/16;2002;2;4;16;37329;CL
2002/04/17;2002;2;4;17;37330;CL
2002/04/18;2002;2;4;18;37331;CL
2002/04/19;2002;2;4;19;37332;CL
2002/04/20;2002;2;4;20;37333;CL
2002/04/21;2002;2;4;21;37334;CL
2002/04/22;2002;2;4;22;37335;CL
2002/04/23;2002;2;4;23;37336;CL
2002/04/24;2002;2;4;24;37337;CL
2002/04/25;2002;2;4;25;37338;CL
2002/04/26;2002;2;4;26;37339;CL
2002/04/27;2002;2;4;27;37340;CL
2002/04/28;2002;2;4;28;37341;CL
2002/04/29;2002;2;4;29;37342;CL
2002/04/30;2002;2;4;30;37343;CL
2002/05/01;2002;2;5;1;37344;CL
2002/05/02;2002;2;5;2;37345;CL
2002/05/03;2002;2;5;3;37346;CL
2002/05/04;2002;2;5;4;37347;CL
2002/05/05;2002;2;5;5;37348;CL
2002/05/06;2002;2;5;6;37349;CL
2002/05/07;2002;2;5;7;37350;CL
2002/05/08;2002;2;5;8;37351;CL
2002/05/09;2002;2;5;9;37352;CL
2002/05/10;2002;2;5;10;37353;CL
2002/05/11;2002;2;5;11;37354;CL
2002/05/12;2002;2;5;12;37355;CL
2002/05/13;2002;2;5;13;37356;CL
2002/05/14;2002;2;5;14;37357;CL
2002/05/15;2002;2;5;15;37358;CL
2002/05/16;2002;2;5;16;37359;CL
2002/05/17;2002;2;5;17;37360;CL
2002/05/18;2002;2;5;18;37361;CL
2002/05/19;2002;2;5;19;37362;CL
2002/05/20;2002;2;5;20;37363;CL
2002/05/21;2002;2;5;21;37364;CL
2002/05/22;2002;2;5;22;37365;CL
2002/05/23;2002;2;5;23;37366;CL
2002/05/24;2002;2;5;24;37367;CL
2002/05/25;2002;2;5;25;37368;CL
2002/05/26;2002;2;5;26;37369;CL
2002/05/27;2002;2;5;27;37370;CL
2002/05/28;2002;2;5;28;37371;CL
2002/05/29;2002;2;5;29;37372;CL
2002/05/30;2002;2;5;30;37373;CL
2002/05/31;2002;2;5;31;37374;CL
2002/06/01;2002;2;6;1;37375;CL
2002/06/02;2002;2;6;2;37376;CL
2002/06/03;2002;2;6;3;37377;CL
2002/06/04;2002;2;6;4;37378;CL
2002/06/05;2002;2;6;5;37379;CL
2002/06/06;2002;2;6;6;37380;CL
2002/06/07;2002;2;6;7;37381;CL
2002/06/08;2002;2;6;8;37382;CL
2002/06/09;2002;2;6;9;37383;CL
2002/06/10;2002;2;6;10;37384;CL
2002/06/11;2002;2;6;11;37385;CL
2002/06/12;2002;2;6;12;37386;CL
2002/06/13;2002;2;6;13;37387;CL
2002/06/14;2002;2;6;14;37388;CL
2002/06/15;2002;2;6;15;37389;CL
2002/06/16;2002;2;6;16;37390;CL
2002/06/17;2002;2;6;17;37391;CL
2002/06/18;2002;2;6;18;37392;CL
2002/06/19;2002;2;6;19;37393;CL
2002/06/20;2002;2;6;20;37394;CL
2002/06/21;2002;2;6;21;37395;CL
2002/06/22;2002;2;6;22;37396;CL
2002/06/23;2002;2;6;23;37397;CL
2002/06/24;2002;2;6;24;37398;CL
2002/06/25;2002;2;6;25;37399;CL
2002/06/26;2002;2;6;26;37400;CL
2002/06/27;2002;2;6;27;37401;CL
2002/06/28;2002;2;6;28;37402;CL
2002/06/29;2002;2;6;29;37403;CL
2002/06/30;2002;2;6;30;37404;CL
2002/07/01;2002;3;7;1;37405;CL
2002/07/02;2002;3;7;2;37406;CL
2002/07/03;2002;3;7;3;37407;CL
2002/07/04;2002;3;7;4;37408;CL
2002/07/05;2002;3;7;5;37409;CL
2002/07/06;2002;3;7;6;37410;CL
2002/07/07;2002;3;7;7;37411;CL
2002/07/08;2002;3;7;8;37412;CL
2002/07/09;2002;3;7;9;37413;CL
2002/07/10;2002;3;7;10;37414;CL
2002/07/11;2002;3;7;11;37415;CL
2002/07/12;2002;3;7;12;37416;CL
2002/07/13;2002;3;7;13;37417;CL
2002/07/14;2002;3;7;14;37418;CL
2002/07/15;2002;3;7;15;37419;CL
2002/07/16;2002;3;7;16;37420;CL
2002/07/17;2002;3;7;17;37421;CL
2002/07/18;2002;3;7;18;37422;CL
2002/07/19;2002;3;7;19;37423;CL
2002/07/20;2002;3;7;20;37424;CL
2002/07/21;2002;3;7;21;37425;CL
2002/07/22;2002;3;7;22;37426;CL
2002/07/23;2002;3;7;23;37427;CL
2002/07/24;2002;3;7;24;37428;CL
2002/07/25;2002;3;7;25;37429;CL
2002/07/26;2002;3;7;26;37430;CL
2002/07/27;2002;3;7;27;37431;CL
2002/07/28;2002;3;7;28;37432;CL
2002/07/29;2002;3;7;29;37433;CL
2002/07/30;2002;3;7;30;37434;CL
2002/07/31;2002;3;7;31;37435;CL
2002/08/01;2002;3;8;1;37436;CL
2002/08/02;2002;3;8;2;37437;CL
2002/08/03;2002;3;8;3;37438;CL
2002/08/04;2002;3;8;4;37439;CL
2002/08/05;2002;3;8;5;37440;CL
2002/08/06;2002;3;8;6;37441;CL
2002/08/07;2002;3;8;7;37442;CL
2002/08/08;2002;3;8;8;37443;CL
2002/08/09;2002;3;8;9;37444;CL
2002/08/10;2002;3;8;10;37445;CL
2002/08/11;2002;3;8;11;37446;CL
2002/08/12;2002;3;8;12;37447;CL
2002/08/13;2002;3;8;13;37448;CL
2002/08/14;2002;3;8;14;37449;CL
2002/08/15;2002;3;8;15;37450;CL
2002/08/16;2002;3;8;16;37451;CL
2002/08/17;2002;3;8;17;37452;CL
2002/08/18;2002;3;8;18;37453;CL
2002/08/19;2002;3;8;19;37454;CL
2002/08/20;2002;3;8;20;37455;CL
2002/08/21;2002;3;8;21;37456;CL
2002/08/22;2002;3;8;22;37457;CL
2002/08/23;2002;3;8;23;37458;CL
2002/08/24;2002;3;8;24;37459;CL
2002/08/25;2002;3;8;25;37460;CL
2002/08/26;2002;3;8;26;37461;CL
2002/08/27;2002;3;8;27;37462;CL
2002/08/28;2002;3;8;28;37463;CL
2002/08/29;2002;3;8;29;37464;CL
2002/08/30;2002;3;8;30;37465;CL
2002/08/31;2002;3;8;31;37466;CL
2002/09/01;2002;3;9;1;37467;CL
2002/09/02;2002;3;9;2;37468;CL
2002/09/03;2002;3;9;3;37469;CL
2002/09/04;2002;3;9;4;37470;CL
2002/09/05;2002;3;9;5;37471;CL
2002/09/06;2002;3;9;6;37472;CL
2002/09/07;2002;3;9;7;37473;CL
2002/09/08;2002;3;9;8;37474;CL
2002/09/09;2002;3;9;9;37475;CL
2002/09/10;2002;3;9;10;37476;CL
2002/09/11;2002;3;9;11;37477;CL
2002/09/12;2002;3;9;12;37478;CL
2002/09/13;2002;3;9;13;37479;CL
2002/09/14;2002;3;9;14;37480;CL
2002/09/15;2002;3;9;15;37481;CL
2002/09/16;2002;3;9;16;37482;CL
2002/09/17;2002;3;9;17;37483;CL
2002/09/18;2002;3;9;18;37484;CL
2002/09/19;2002;3;9;19;37485;CL
2002/09/20;2002;3;9;20;37486;CL
2002/09/21;2002;3;9;21;37487;CL
2002/09/22;2002;3;9;22;37488;CL
2002/09/23;2002;3;9;23;37489;CL
2002/09/24;2002;3;9;24;37490;CL
2002/09/25;2002;3;9;25;37491;CL
2002/09/26;2002;3;9;26;37492;CL
2002/09/27;2002;3;9;27;37493;CL
2002/09/28;2002;3;9;28;37494;CL
2002/09/29;2002;3;9;29;37495;CL
2002/09/30;2002;3;9;30;37496;CL
2002/10/01;2002;4;10;1;37497;CL
2002/10/02;2002;4;10;2;37498;CL
2002/10/03;2002;4;10;3;37499;CL
2002/10/04;2002;4;10;4;37500;CL
2002/10/05;2002;4;10;5;37501;CL
2002/10/06;2002;4;10;6;37502;CL
2002/10/07;2002;4;10;7;37503;CL
2002/10/08;2002;4;10;8;37504;CL
2002/10/09;2002;4;10;9;37505;CL
2002/10/10;2002;4;10;10;37506;CL
2002/10/11;2002;4;10;11;37507;CL
2002/10/12;2002;4;10;12;37508;CL
2002/10/13;2002;4;10;13;37509;CL
2002/10/14;2002;4;10;14;37510;CL
2002/10/15;2002;4;10;15;37511;CL
2002/10/16;2002;4;10;16;37512;CL
2002/10/17;2002;4;10;17;37513;CL
2002/10/18;2002;4;10;18;37514;CL
2002/10/19;2002;4;10;19;37515;CL
2002/10/20;2002;4;10;20;37516;CL
2002/10/21;2002;4;10;21;37517;CL
2002/10/22;2002;4;10;22;37518;CL
2002/10/23;2002;4;10;23;37519;CL
2002/10/24;2002;4;10;24;37520;CL
2002/10/25;2002;4;10;25;37521;CL
2002/10/26;2002;4;10;26;37522;CL
2002/10/27;2002;4;10;27;37523;CL
2002/10/28;2002;4;10;28;37524;CL
2002/10/29;2002;4;10;29;37525;CL
2002/10/30;2002;4;10;30;37526;CL
2002/10/31;2002;4;10;31;37527;CL
2002/11/01;2002;4;11;1;37528;CL
2002/11/02;2002;4;11;2;37529;CL
2002/11/03;2002;4;11;3;37530;CL
2002/11/04;2002;4;11;4;37531;CL
2002/11/05;2002;4;11;5;37532;CL
2002/11/06;2002;4;11;6;37533;CL
2002/11/07;2002;4;11;7;37534;CL
2002/11/08;2002;4;11;8;37535;CL
2002/11/09;2002;4;11;9;37536;CL
2002/11/10;2002;4;11;10;37537;CL
2002/11/11;2002;4;11;11;37538;CL
2002/11/12;2002;4;11;12;37539;CL
2002/11/13;2002;4;11;13;37540;CL
2002/11/14;2002;4;11;14;37541;CL
2002/11/15;2002;4;11;15;37542;CL
2002/11/16;2002;4;11;16;37543;CL
2002/11/17;2002;4;11;17;37544;CL
2002/11/18;2002;4;11;18;37545;CL
2002/11/19;2002;4;11;19;37546;CL
2002/11/20;2002;4;11;20;37547;CL
2002/11/21;2002;4;11;21;37548;CL
2002/11/22;2002;4;11;22;37549;CL
2002/11/23;2002;4;11;23;37550;CL
2002/11/24;2002;4;11;24;37551;CL
2002/11/25;2002;4;11;25;37552;CL
2002/11/26;2002;4;11;26;37553;CL
2002/11/27;2002;4;11;27;37554;CL
2002/11/28;2002;4;11;28;37555;CL
2002/11/29;2002;4;11;29;37556;CL
2002/11/30;2002;4;11;30;37557;CL
2002/12/01;2002;4;12;1;37558;CL
2002/12/02;2002;4;12;2;37559;CL
2002/12/03;2002;4;12;3;37560;CL
2002/12/04;2002;4;12;4;37561;CL
2002/12/05;2002;4;12;5;37562;CL
2002/12/06;2002;4;12;6;37563;CL
2002/12/07;2002;4;12;7;37564;CL
2002/12/08;2002;4;12;8;37565;CL
2002/12/09;2002;4;12;9;37566;CL
2002/12/10;2002;4;12;10;37567;CL
2002/12/11;2002;4;12;11;37568;CL
2002/12/12;2002;4;12;12;37569;CL
2002/12/13;2002;4;12;13;37570;CL
2002/12/14;2002;4;12;14;37571;CL
2002/12/15;2002;4;12;15;37572;CL
2002/12/16;2002;4;12;16;37573;CL
2002/12/17;2002;4;12;17;37574;CL
2002/12/18;2002;4;12;18;37575;CL
2002/12/19;2002;4;12;19;37576;CL
2002/12/20;2002;4;12;20;37577;CL
2002/12/21;2002;4;12;21;37578;CL
2002/12/22;2002;4;12;22;37579;CL
2002/12/23;2002;4;12;23;37580;CL
2002/12/24;2002;4;12;24;37581;CL
2002/12/25;2002;4;12;25;37582;CL
2002/12/26;2002;4;12;26;37583;CL
2002/12/27;2002;4;12;27;37584;CL
2002/12/28;2002;4;12;28;37585;CL
2002/12/29;2002;4;12;29;37586;CL
2002/12/30;2002;4;12;30;37587;CL
2002/12/31;2002;4;12;31;37588;CL
2003/01/01;2003;1;1;1;37589;CL
2003/01/02;2003;1;1;2;37590;CL
2003/01/03;2003;1;1;3;37591;CL
2003/01/04;2003;1;1;4;37592;CL
2003/01/05;2003;1;1;5;37593;CL
2003/01/06;2003;1;1;6;37594;CL
2003/01/07;2003;1;1;7;37595;CL
2003/01/08;2003;1;1;8;37596;CL
2003/01/09;2003;1;1;9;37597;CL
2003/01/10;2003;1;1;10;37598;CL
2003/01/11;2003;1;1;11;37599;CL
2003/01/12;2003;1;1;12;37600;CL
2003/01/13;2003;1;1;13;37601;CL
2003/01/14;2003;1;1;14;37602;CL
2003/01/15;2003;1;1;15;37603;CL
2003/01/16;2003;1;1;16;37604;CL
2003/01/17;2003;1;1;17;37605;CL
2003/01/18;2003;1;1;18;37606;CL
2003/01/19;2003;1;1;19;37607;CL
2003/01/20;2003;1;1;20;37608;CL
2003/01/21;2003;1;1;21;37609;CL
2003/01/22;2003;1;1;22;37610;CL
2003/01/23;2003;1;1;23;37611;CL
2003/01/24;2003;1;1;24;37612;CL
2003/01/25;2003;1;1;25;37613;CL
2003/01/26;2003;1;1;26;37614;CL
2003/01/27;2003;1;1;27;37615;CL
2003/01/28;2003;1;1;28;37616;CL
2003/01/29;2003;1;1;29;37617;CL
2003/01/30;2003;1;1;30;37618;CL
2003/01/31;2003;1;1;31;37619;CL
2003/02/01;2003;1;2;1;37620;CL
2003/02/02;2003;1;2;2;37621;CL
2003/02/03;2003;1;2;3;37622;CL
2003/02/04;2003;1;2;4;37623;CL
2003/02/05;2003;1;2;5;37624;CL
2003/02/06;2003;1;2;6;37625;CL
2003/02/07;2003;1;2;7;37626;CL
2003/02/08;2003;1;2;8;37627;CL
2003/02/09;2003;1;2;9;37628;CL
2003/02/10;2003;1;2;10;37629;CL
2003/02/11;2003;1;2;11;37630;CL
2003/02/12;2003;1;2;12;37631;CL
2003/02/13;2003;1;2;13;37632;CL
2003/02/14;2003;1;2;14;37633;CL
2003/02/15;2003;1;2;15;37634;CL
2003/02/16;2003;1;2;16;37635;CL
2003/02/17;2003;1;2;17;37636;CL
2003/02/18;2003;1;2;18;37637;CL
2003/02/19;2003;1;2;19;37638;CL
2003/02/20;2003;1;2;20;37639;CL
2003/02/21;2003;1;2;21;37640;CL
2003/02/22;2003;1;2;22;37641;CL
2003/02/23;2003;1;2;23;37642;CL
2003/02/24;2003;1;2;24;37643;CL
2003/02/25;2003;1;2;25;37644;CL
2003/02/26;2003;1;2;26;37645;CL
2003/02/27;2003;1;2;27;37646;CL
2003/02/28;2003;1;2;28;37647;CL
2003/03/01;2003;1;3;1;37648;CL
2003/03/02;2003;1;3;2;37649;CL
2003/03/03;2003;1;3;3;37650;CL
2003/03/04;2003;1;3;4;37651;CL
2003/03/05;2003;1;3;5;37652;CL
2003/03/06;2003;1;3;6;37653;CL
2003/03/07;2003;1;3;7;37654;CL
2003/03/08;2003;1;3;8;37655;CL
2003/03/09;2003;1;3;9;37656;CL
2003/03/10;2003;1;3;10;37657;CL
2003/03/11;2003;1;3;11;37658;CL
2003/03/12;2003;1;3;12;37659;CL
2003/03/13;2003;1;3;13;37660;CL
2003/03/14;2003;1;3;14;37661;CL
2003/03/15;2003;1;3;15;37662;CL
2003/03/16;2003;1;3;16;37663;CL
2003/03/17;2003;1;3;17;37664;CL
2003/03/18;2003;1;3;18;37665;CL
2003/03/19;2003;1;3;19;37666;CL
2003/03/20;2003;1;3;20;37667;CL
2003/03/21;2003;1;3;21;37668;CL
2003/03/22;2003;1;3;22;37669;CL
2003/03/23;2003;1;3;23;37670;CL
2003/03/24;2003;1;3;24;37671;CL
2003/03/25;2003;1;3;25;37672;CL
2003/03/26;2003;1;3;26;37673;CL
2003/03/27;2003;1;3;27;37674;CL
2003/03/28;2003;1;3;28;37675;CL
2003/03/29;2003;1;3;29;37676;CL
2003/03/30;2003;1;3;30;37677;CL
2003/03/31;2003;1;3;31;37678;CL
2003/04/01;2003;2;4;1;37679;CL
2003/04/02;2003;2;4;2;37680;CL
2003/04/03;2003;2;4;3;37681;CL
2003/04/04;2003;2;4;4;37682;CL
2003/04/05;2003;2;4;5;37683;CL
2003/04/06;2003;2;4;6;37684;CL
2003/04/07;2003;2;4;7;37685;CL
2003/04/08;2003;2;4;8;37686;CL
2003/04/09;2003;2;4;9;37687;CL
2003/04/10;2003;2;4;10;37688;CL
2003/04/11;2003;2;4;11;37689;CL
2003/04/12;2003;2;4;12;37690;CL
2003/04/13;2003;2;4;13;37691;CL
2003/04/14;2003;2;4;14;37692;CL
2003/04/15;2003;2;4;15;37693;CL
2003/04/16;2003;2;4;16;37694;CL
2003/04/17;2003;2;4;17;37695;CL
2003/04/18;2003;2;4;18;37696;CL
2003/04/19;2003;2;4;19;37697;CL
2003/04/20;2003;2;4;20;37698;CL
2003/04/21;2003;2;4;21;37699;CL
2003/04/22;2003;2;4;22;37700;CL
2003/04/23;2003;2;4;23;37701;CL
2003/04/24;2003;2;4;24;37702;CL
2003/04/25;2003;2;4;25;37703;CL
2003/04/26;2003;2;4;26;37704;CL
2003/04/27;2003;2;4;27;37705;CL
2003/04/28;2003;2;4;28;37706;CL
2003/04/29;2003;2;4;29;37707;CL
2003/04/30;2003;2;4;30;37708;CL
2003/05/01;2003;2;5;1;37709;CL
2003/05/02;2003;2;5;2;37710;CL
2003/05/03;2003;2;5;3;37711;CL
2003/05/04;2003;2;5;4;37712;CL
2003/05/05;2003;2;5;5;37713;CL
2003/05/06;2003;2;5;6;37714;CL
2003/05/07;2003;2;5;7;37715;CL
2003/05/08;2003;2;5;8;37716;CL
2003/05/09;2003;2;5;9;37717;CL
2003/05/10;2003;2;5;10;37718;CL
2003/05/11;2003;2;5;11;37719;CL
2003/05/12;2003;2;5;12;37720;CL
2003/05/13;2003;2;5;13;37721;CL
2003/05/14;2003;2;5;14;37722;CL
2003/05/15;2003;2;5;15;37723;CL
2003/05/16;2003;2;5;16;37724;CL
2003/05/17;2003;2;5;17;37725;CL
2003/05/18;2003;2;5;18;37726;CL
2003/05/19;2003;2;5;19;37727;CL
2003/05/20;2003;2;5;20;37728;CL
2003/05/21;2003;2;5;21;37729;CL
2003/05/22;2003;2;5;22;37730;CL
2003/05/23;2003;2;5;23;37731;CL
2003/05/24;2003;2;5;24;37732;CL
2003/05/25;2003;2;5;25;37733;CL
2003/05/26;2003;2;5;26;37734;CL
2003/05/27;2003;2;5;27;37735;CL
2003/05/28;2003;2;5;28;37736;CL
2003/05/29;2003;2;5;29;37737;CL
2003/05/30;2003;2;5;30;37738;CL
2003/05/31;2003;2;5;31;37739;CL
2003/06/01;2003;2;6;1;37740;CL
2003/06/02;2003;2;6;2;37741;CL
2003/06/03;2003;2;6;3;37742;CL
2003/06/04;2003;2;6;4;37743;CL
2003/06/05;2003;2;6;5;37744;CL
2003/06/06;2003;2;6;6;37745;CL
2003/06/07;2003;2;6;7;37746;CL
2003/06/08;2003;2;6;8;37747;CL
2003/06/09;2003;2;6;9;37748;CL
2003/06/10;2003;2;6;10;37749;CL
2003/06/11;2003;2;6;11;37750;CL
2003/06/12;2003;2;6;12;37751;CL
2003/06/13;2003;2;6;13;37752;CL
2003/06/14;2003;2;6;14;37753;CL
2003/06/15;2003;2;6;15;37754;CL
2003/06/16;2003;2;6;16;37755;CL
2003/06/17;2003;2;6;17;37756;CL
2003/06/18;2003;2;6;18;37757;CL
2003/06/19;2003;2;6;19;37758;CL
2003/06/20;2003;2;6;20;37759;CL
2003/06/21;2003;2;6;21;37760;CL
2003/06/22;2003;2;6;22;37761;CL
2003/06/23;2003;2;6;23;37762;CL
2003/06/24;2003;2;6;24;37763;CL
2003/06/25;2003;2;6;25;37764;CL
2003/06/26;2003;2;6;26;37765;CL
2003/06/27;2003;2;6;27;37766;CL
2003/06/28;2003;2;6;28;37767;CL
2003/06/29;2003;2;6;29;37768;CL
2003/06/30;2003;2;6;30;37769;CL
2003/07/01;2003;3;7;1;37770;CL
2003/07/02;2003;3;7;2;37771;CL
2003/07/03;2003;3;7;3;37772;CL
2003/07/04;2003;3;7;4;37773;CL
2003/07/05;2003;3;7;5;37774;CL
2003/07/06;2003;3;7;6;37775;CL
2003/07/07;2003;3;7;7;37776;CL
2003/07/08;2003;3;7;8;37777;CL
2003/07/09;2003;3;7;9;37778;CL
2003/07/10;2003;3;7;10;37779;CL
2003/07/11;2003;3;7;11;37780;CL
2003/07/12;2003;3;7;12;37781;CL
2003/07/13;2003;3;7;13;37782;CL
2003/07/14;2003;3;7;14;37783;CL
2003/07/15;2003;3;7;15;37784;CL
2003/07/16;2003;3;7;16;37785;CL
2003/07/17;2003;3;7;17;37786;CL
2003/07/18;2003;3;7;18;37787;CL
2003/07/19;2003;3;7;19;37788;CL
2003/07/20;2003;3;7;20;37789;CL
2003/07/21;2003;3;7;21;37790;CL
2003/07/22;2003;3;7;22;37791;CL
2003/07/23;2003;3;7;23;37792;CL
2003/07/24;2003;3;7;24;37793;CL
2003/07/25;2003;3;7;25;37794;CL
2003/07/26;2003;3;7;26;37795;CL
2003/07/27;2003;3;7;27;37796;CL
2003/07/28;2003;3;7;28;37797;CL
2003/07/29;2003;3;7;29;37798;CL
2003/07/30;2003;3;7;30;37799;CL
2003/07/31;2003;3;7;31;37800;CL
2003/08/01;2003;3;8;1;37801;CL
2003/08/02;2003;3;8;2;37802;CL
2003/08/03;2003;3;8;3;37803;CL
2003/08/04;2003;3;8;4;37804;CL
2003/08/05;2003;3;8;5;37805;CL
2003/08/06;2003;3;8;6;37806;CL
2003/08/07;2003;3;8;7;37807;CL
2003/08/08;2003;3;8;8;37808;CL
2003/08/09;2003;3;8;9;37809;CL
2003/08/10;2003;3;8;10;37810;CL
2003/08/11;2003;3;8;11;37811;CL
2003/08/12;2003;3;8;12;37812;CL
2003/08/13;2003;3;8;13;37813;CL
2003/08/14;2003;3;8;14;37814;CL
2003/08/15;2003;3;8;15;37815;CL
2003/08/16;2003;3;8;16;37816;CL
2003/08/17;2003;3;8;17;37817;CL
2003/08/18;2003;3;8;18;37818;CL
2003/08/19;2003;3;8;19;37819;CL
2003/08/20;2003;3;8;20;37820;CL
2003/08/21;2003;3;8;21;37821;CL
2003/08/22;2003;3;8;22;37822;CL
2003/08/23;2003;3;8;23;37823;CL
2003/08/24;2003;3;8;24;37824;CL
2003/08/25;2003;3;8;25;37825;CL
2003/08/26;2003;3;8;26;37826;CL
2003/08/27;2003;3;8;27;37827;CL
2003/08/28;2003;3;8;28;37828;CL
2003/08/29;2003;3;8;29;37829;CL
2003/08/30;2003;3;8;30;37830;CL
2003/08/31;2003;3;8;31;37831;CL
2003/09/01;2003;3;9;1;37832;CL
2003/09/02;2003;3;9;2;37833;CL
2003/09/03;2003;3;9;3;37834;CL
2003/09/04;2003;3;9;4;37835;CL
2003/09/05;2003;3;9;5;37836;CL
2003/09/06;2003;3;9;6;37837;CL
2003/09/07;2003;3;9;7;37838;CL
2003/09/08;2003;3;9;8;37839;CL
2003/09/09;2003;3;9;9;37840;CL
2003/09/10;2003;3;9;10;37841;CL
2003/09/11;2003;3;9;11;37842;CL
2003/09/12;2003;3;9;12;37843;CL
2003/09/13;2003;3;9;13;37844;CL
2003/09/14;2003;3;9;14;37845;CL
2003/09/15;2003;3;9;15;37846;CL
2003/09/16;2003;3;9;16;37847;CL
2003/09/17;2003;3;9;17;37848;CL
2003/09/18;2003;3;9;18;37849;CL
2003/09/19;2003;3;9;19;37850;CL
2003/09/20;2003;3;9;20;37851;CL
2003/09/21;2003;3;9;21;37852;CL
2003/09/22;2003;3;9;22;37853;CL
2003/09/23;2003;3;9;23;37854;CL
2003/09/24;2003;3;9;24;37855;CL
